doc_id,author,title,year,thesis_type,director,director_source,original_director_field,specialisation,matched_secondary,match_score
HEIA_059736_411209,"Kponton, Honoré",De l'usage du 'développement' dans la presse au Ghana en situation de crise,1991.0,Master/Other,,,,,False,
HEIA_023129_411209,"Tegegne, Muse","The ""Falasha"" question",1986.0,Master/Other,,,,,False,
HEIA_067123_411209,"Dall'Aglio, Andrea","Kunturpa llantu, l'ombre du condor",1992.0,Master/Other,,,,,False,
HEIA_060518_411209,"Bakima Baliele, Mathieu","Médias, participation citoyenne et processus démocratique au Congo-Brazzaville",2001.0,Master/Other,,,,,False,
HEIA_055816_411209,"Cruz Hefti, Luisa","Desafíos para construir la igualdad y la equidad de género en la audiencia de Radio Cutivalú, Piura-Perú 1999",2003.0,Master/Other,,,,,False,
HEIA_056874_411209,"Barros Costa Alfama, Suzana Helena",Les savoirs locaux et les pratiques traditionnelles en environnement dans le contexte du développement durable de l'île de Santiago (Cap Vert),2001.0,Master/Other,,,,,False,
HEIA_016123_411209,"Zerda, Mukakibibi",Les représentations de la vie génésique en rapport avec la régulation des naissances au Rwanda,1991.0,Master/Other,,,,,False,
HEIA_008866_411209,"Mazzini, Patricia","""Los chicos limpiavidrios, actores sociales en la ciudad""",1995.0,Master/Other,,,,,False,
HEIA_050676_AU2AC01233,"Theophilus, Biriyai",Gender and empowerment,1998.0,Master/Other,,,,,False,
HEIA_055956_411209,"Chell-Sanchez, Nadège","Le rôle des associations féminines ""progressistes"" et la trajectoire de leurs leaders dans le contexte associatif malien",2003.0,Master/Other,,,,,False,
HEIA_056884_411209,"Nguémadjita, Rémadje Bollibang",Le mouvement paysan au Tchad et au Cameroun,1999.0,Master/Other,,,,,False,
HEIA_061248_411209,"Andriamalala, Mamisoa Fredy",Trajectoires de familles marginalisées à Madagascar,2004.0,Master/Other,,,,,False,
HEIA_077273_410301,"Dentan, Anne",Entre ciel et terre,1986.0,Master/Other,,,,,False,
HEIA_077243_410301,"Fernandes, Benta Giselda Frei",Changement social et marginalité,1982.0,Master/Other,,,,,False,
HEIA_077256_410301,"Daddi Addoun, Aïcha",Approche historique et socio-culturelle de la communauté ibadite,1986.0,Master/Other,,,,,False,
HEIA_077245_AU2AC01233,"Diouf, J.-B. Mamcor","Le savoir et les techniques locaux en milieu seerer (région du Sine-Saloum, Sénégal)",1984.0,Master/Other,,,,,False,
HEIA_064553_410301,"Jacob, Jean-Pierre","Baye, Barani, Genève",1978.0,Master/Other,,,,,False,
HEIA_064267_410301,"Camara, Sidi H.","Arachide, école et migrations en Casamance",1985.0,Master/Other,,,,,False,
HEIA_063844_411209,"Behanzin, Cotiti Anatole",La basse vallée de l'Ouémé,1981.0,Master/Other,,,,,False,
HEIA_064637_411209,"Mbuzehose, Jean B.",Rationalisation forestière stratégique et précarité communautaire,1999.0,Master/Other,,,,,False,
HEIA_077998_411209,"Benkirane, Réda",Bidonville et recasement,1993.0,Master/Other,,,,,False,
HEIA_056881_411209,"Yonoudjoum, Clément",Gestion de l'environnement urbain à N'Djamena et processus de participation populaire,1999.0,Master/Other,,,,,False,
HEIA_010853_411209,"Mabel Santos, Susana",Factores culturales y simbolicos en la estructuracion de espacios sociales,1992.0,Master/Other,,,,,False,
HEIA_013055_410301,"Granados, Miriam",Actores sociales de la ciudad,1997.0,Master/Other,,,,,False,
HEIA_050124_410301,"Villasante Cervello, Mariella","Collectivités tribales, restructuration des stratégies sociales de reproduction et de pouvoir",1989.0,Master/Other,,,,,False,
HEIA_001606_410301,"Leybourne, Marina Lynne",Links between the steppe and cultivated areas through migration,1993.0,Master/Other,,,,,False,
HEIA_006271_411209,"Niang, Demba",Décentralisation municipale et gestion des villes moyennes au Sénégal,1994.0,Master/Other,,,,,False,
HEIA_051490_411209,"Reed, David W.",Aztlan,1978.0,Master/Other,,,,,False,
HEIA_056880_411209,"Tuchowski, Christine",Le retour des anciennes combattantes,2000.0,Master/Other,,,,,False,
HEIA_013283_411209,"Keller, Beatriz Paiva",Imigrantes brasileiros na Suíça,1997.0,Master/Other,,,,,False,
HEIA_056882_411209,"Djeguime, Antandou Moïse",Les Dogon du Mali,1999.0,Master/Other,,,,,False,
HEIA_068139_410206,"Diouf, Abdou",Insertion différenciée des migrantes et migrants Sérère à Dakar,2004.0,Master/Other,,,,,False,
HEIA_053188_410206,"Martínez, Miguel Angel",La planificación regional de desarrollo,1986.0,Master/Other,,,,,False,
HEIA_077254_410206,"Monnier, Michel-Acatl","Ordres, désordres et survie",1989.0,Master/Other,,,,,False,
HEIA_025725_410206,"Tombola, Jean-Pierre",Les réfugiés de l'environnement,2002.0,Master/Other,,,,,False,
