doc_id,year,author,title,jury_1,jury_2,jury_3,jury_4,jury_5
HEI_000525--000001_410301,1928,,Methods of international legislation with special reference to the League of Nations,S. A.,Hautes Etudes Internationales,M. Knudson,Maître,Amos S. Hershey
HEI_000525--000002_410301,1929,,The principle of equal economic opportunity before and since the establishment of the mandates syste,U. S. A. B. A. GOSHEN,B. A. GoVhÉn,M. Gerig,Maître,William E. Rappard
HEI_000525--000003_410301,1930,,Women's part in the English co-operative movement and related problems,T-ll,Related Problems,JENT S. A.,Rappard,Mii Djang
HEI_000525--000004_410301,1930,,L'échange gréco-bulgare des minorités ethniques,O æSî bkäss ÄBÜOIO X,André WURFBAIN dAmsterdam,i - 6fiÄ 2x,Rappard,M. Wurfbain
HEI_000525--000005_410301,1930,,Canada and the League of Nations,William Earl,S. A.,Lins litui,ÇLe -Gada etla,Chapter
HEI_000525--000006_410301,1931,,The International Institute of Agriculture,J. i Ö ÎS,ASHER HOBSO N,Rappard,M. Hobson,William E. Rappard
HEI_000525--000007_410301,1932,,La Pologne et la Société des Nations,Alexandre BREGMAN VARSOVIE,Gêncye,Hautes Etudes Internationales,Alexandre Bregman,Pàül MANTOÙx
HEI_000525--000008_410301,1932,,The nature and evolution of the political relations between the Indian states and the British imperi,O co co O CD I O t-,Kalia Jlndia,MM. Bourquin,Borgend,M. Shyam Shankar
HEI_000525--000009_410206,1932,,Le bois en Europe,3 CD,Egon GLESINGER Docteur,M. Babel,Egon Glesinger,William E. Rappart
HEI_000526--000001_410206,1930,,L'expédition et la captivité d'Andalousie,Paul Mantoux,Théo Geisendorf-,Victor Martin,MATIÈRES Pages Avant-propos ix-x Les,Chapitre I. LEspagne
HEI_000526--000002_410206,1933,,L'article 11 du Pacte et la convention générale en vue de développer les moyens de prévenir la guerr,ZRouDxaiûeX,Guggenheim,Norbert Kurz,William E. Rappard,Messieurs
HEI_000526--000003_410206,1934,,Reservoirs of men,HEITtì SIBIL,Paul Mantoux,Maurice Btoüruin,Cari J. Burckhardt,M.-Shélby-Uiiîlcnt Davis
HEI_000526--000004_411209,1934,,The Soviets at Geneva,Kii W.,tifi I,Kathrÿn,Paul Mantoux,William E. Rappard
HEI_000526--000005_411209,1934,,Nonrecognition as a legal obligation,HEfTVV ltp,ROLAND HALL SHARP A. B.,M. E. I.,Maurice Bourquin,Hans Kelsen
HEI_000526--000006_411209,1934,,International narcotics control,c Q O,William E. Rappard,Hans Wehberg,Pitman B. Potter,Mademoiselle Louise Elisabeth Eisenlohr
HEI_000526--000007_411209,1935,,Das Problem des völkerrechtlichen Angriffs,WILHELM G. HERTZ Sv,WILHELM G. HERTZ,A. W. SIJTHOFFS UITGEVERSMIJ N.V.,Hans Kelsen,Hans Wehberg
HEI_000527--000001_411209,1935,,Disarmament in British foreign policy,Rolland,Paul Mantoux,Maurice Bourquin,Hans Wehberg,Anglo-German Naval Rivalry 51
